Date,Number of flights,Seven-day average,Notes
11/21/2022,4459,4234,
11/22/2022,3899,4206,
11/23/2022,3872,4187,
11/24/2022,4226,4175,
11/25/2022,4661,4169,
11/26/2022,3551,4146,
11/27/2022,4281,4136,
11/28/2022,4486,4139,
11/29/2022,3939,4145,
11/30/2022,4074,4174,
12/01/2022,4266,4180,
12/02/2022,4767,4195,
12/03/2022,3699,4216,
12/04/2022,4411,4235,
12/05/2022,4649,4258,
12/06/2022,4275,4306,
12/07/2022,4261,4333,
12/08/2022,4580,4377,
12/09/2022,4745,4374,
12/10/2022,3871,4399,
12/11/2022,3758,4306,
12/12/2022,4135,4232,
12/13/2022,4192,4220,
12/14/2022,4305,4227,
12/15/2022,4493,4214,
12/16/2022,4892,4235,
12/17/2022,4311,4298,
12/18/2022,4439,4395,
12/19/2022,4742,4482,
12/20/2022,4601,4540,
12/21/2022,4625,4586,
12/22/2022,4794,4629,
12/23/2022,4858,4624,
12/24/2022,3483,4506,
12/25/2022,1452,4079,
12/26/2022,4132,3992,
12/27/2022,4416,3966,
12/28/2022,4307,3920,
12/29/2022,4490,3877,
12/30/2022,4583,3838,
12/31/2022,3664,3863,
01/01/2023,3735,4190,
01/02/2023,4722,4274,
01/03/2023,4454,4279,
01/04/2023,4408,4294,
01/05/2023,4484,4293,
01/06/2023,4728,4314,
01/07/2023,4179,4387,
01/08/2023,4438,4488,
01/09/2023,4450,4449,
01/10/2023,3720,4344,
01/11/2023,3770,4253,
01/12/2023,4098,4198,
01/13/2023,4522,4168,
01/14/2023,3875,4125,
01/15/2023,4267,4100,
01/16/2023,4253,4072,
01/17/2023,3633,4060,
01/18/2023,3695,4049,
01/19/2023,4044,4041,
01/20/2023,4626,4056,
01/21/2023,3897,4059,
01/22/2023,4256,4058,
01/23/2023,4210,4052,
01/24/2023,3673,4057,
01/25/2023,3605,4044,
01/26/2023,4146,4059,
01/27/2023,4498,4041,
01/28/2023,3780,4024,
01/29/2023,4242,4022,
01/30/2023,4299,4035,
01/31/2023,3708,4040,
02/01/2023,3817,4070,
02/02/2023,4154,4071,
02/03/2023,4627,4090,
02/04/2023,3929,4111,
02/05/2023,4398,4133,
02/06/2023,4465,4157,
02/07/2023,3707,4157,
02/08/2023,3858,4163,
02/09/2023,4465,4207,
02/10/2023,5120,4277,
02/11/2023,4523,4362,
02/12/2023,4601,4391,
02/13/2023,4687,4423,
02/14/2023,3986,4463,
02/15/2023,4213,4514,
02/16/2023,4521,4522,
02/17/2023,4793,4475,
02/18/2023,4638,4491,
02/19/2023,4969,4544,
02/20/2023,4764,4555,
02/21/2023,4159,4580,
02/22/2023,4154,4571,
02/23/2023,4529,4572,
02/24/2023,4948,4594,
02/25/2023,4264,4541,
02/26/2023,4703,4503,
02/27/2023,4815,4510,
02/28/2023,4273,4527,
03/01/2023,4353,4555,
03/02/2023,4588,4563,
03/03/2023,4937,4562,
03/04/2023,4262,4562,
03/05/2023,4624,4550,
03/06/2023,4748,4541,
03/07/2023,4156,4524,
03/08/2023,4002,4474,
03/09/2023,4527,4465,
03/10/2023,4763,4440,
03/11/2023,4248,4438,
03/12/2023,4743,4455,
03/13/2023,4575,4431,
03/14/2023,4379,4462,
03/15/2023,4415,4521,
03/16/2023,4672,4542,
03/17/2023,5066,4585,
03/18/2023,4307,4594,
03/19/2023,4781,4599,
03/20/2023,4768,4627,
03/21/2023,4308,4617,
03/22/2023,4351,4608,
03/23/2023,4669,4607,
03/24/2023,4994,4597,
03/25/2023,4214,4584,
03/26/2023,4785,4584,
03/27/2023,4947,4610,
03/28/2023,4836,4685,
03/29/2023,5036,4783,
03/30/2023,5347,4880,
03/31/2023,5319,4926,
04/01/2023,4818,5013,
04/02/2023,5065,5053,
04/03/2023,5282,5100,
04/04/2023,5216,5155,
04/05/2023,5221,5181,
04/06/2023,5484,5201,
04/07/2023,5277,5195,
04/08/2023,4686,5176,
04/09/2023,4968,5162,
04/10/2023,5171,5146,
04/11/2023,5162,5138,
04/12/2023,5105,5122,
04/13/2023,5420,5113,
04/14/2023,5520,5147,
04/15/2023,4856,5172,
04/16/2023,5215,5207,
04/17/2023,5439,5245,
04/18/2023,5271,5261,
04/19/2023,5311,5290,
04/20/2023,5483,5299,
04/21/2023,5556,5304,
04/22/2023,4713,5284,
04/23/2023,5105,5268,
04/24/2023,5410,5264,
04/25/2023,5233,5259,
04/26/2023,5284,5255,
04/27/2023,5510,5259,
04/28/2023,5680,5276,
04/29/2023,4776,5285,
04/30/2023,5100,5285,
05/01/2023,5341,5275,
05/02/2023,5489,5311,
05/03/2023,5501,5342,
05/04/2023,5846,5390,
05/05/2023,5920,5425,
05/06/2023,4988,5455,
05/07/2023,5346,5490,
05/08/2023,5590,5526,
05/09/2023,5484,5525,
05/10/2023,5526,5529,
05/11/2023,5869,5532,
05/12/2023,5937,5534,
05/13/2023,5112,5552,
05/14/2023,5466,5569,
05/15/2023,5798,5599,
05/16/2023,5632,5620,
05/17/2023,5640,5636,
05/18/2023,5893,5640,
05/19/2023,5807,5621,
05/20/2023,5118,5622,
05/21/2023,5492,5626,
05/22/2023,5836,5631,
05/23/2023,5731,5645,
05/24/2023,5809,5669,
05/25/2023,6106,5700,
05/26/2023,6315,5772,
05/27/2023,5545,5833,
05/28/2023,5593,5848,
05/29/2023,5865,5852,
05/30/2023,5844,5868,
05/31/2023,5912,5883,
06/01/2023,6128,5886,
06/02/2023,6145,5862,
06/03/2023,5470,5851,
06/04/2023,5930,5899,
06/05/2023,6098,5932,
06/06/2023,5841,5932,
06/07/2023,6057,5953,
06/08/2023,6196,5962,
06/09/2023,6305,5985,
06/10/2023,5530,5994,
06/11/2023,5799,5975,
06/12/2023,5927,5951,
06/13/2023,5979,5970,
06/14/2023,6123,5980,
06/15/2023,6264,5990,
06/16/2023,6370,5999,
06/17/2023,5533,5999,
06/18/2023,5623,5974,
06/19/2023,6154,6007,
06/20/2023,5916,5998,
06/21/2023,6136,5999,
06/22/2023,6283,6002,
06/23/2023,6384,6004,
06/24/2023,5527,6003,
06/25/2023,5955,6051,
06/26/2023,6274,6068,
06/27/2023,6076,6091,
06/28/2023,6099,6085,
06/29/2023,6296,6087,
06/30/2023,6379,6087,
07/01/2023,5714,6113,
07/02/2023,6018,6122,
07/03/2023,6204,6112,
07/04/2023,6080,6113,
07/05/2023,6035,6104,
07/06/2023,6407,6120,
07/07/2023,6538,6142,
07/08/2023,5621,6129,
07/09/2023,6052,6134,
07/10/2023,6335,6153,
07/11/2023,6134,6160,
07/12/2023,6173,6180,
07/13/2023,6379,6176,
07/14/2023,6411,6158,
07/15/2023,5595,6154,
07/16/2023,6090,6160,
07/17/2023,6399,6169,
07/18/2023,6133,6169,
07/19/2023,6156,6166,
07/20/2023,6326,6159,
07/21/2023,6437,6162,
07/22/2023,5672,6173,
07/23/2023,6009,6162,
07/24/2023,6177,6130,
07/25/2023,6034,6116,
07/26/2023,6138,6113,
07/27/2023,6290,6108,
07/28/2023,6390,6101,
07/29/2023,5688,6104,
07/30/2023,5997,6102,
07/31/2023,6178,6102,
08/01/2023,6040,6103,
08/02/2023,5979,6080,
08/03/2023,6254,6075,
08/04/2023,6347,6069,
08/05/2023,5651,6064,
08/06/2023,5978,6061,
08/07/2023,6152,6057,
08/08/2023,5968,6047,
08/09/2023,6059,6058,
08/10/2023,6197,6050,
08/11/2023,6333,6048,
08/12/2023,5641,6047,
08/13/2023,5936,6041,
08/14/2023,6087,6032,
08/15/2023,5975,6033,
08/16/2023,5968,6020,
08/17/2023,6163,6015,
08/18/2023,6176,5992,
08/19/2023,5579,5983,
08/20/2023,5978,5989,
08/21/2023,6160,6000,
08/22/2023,6029,6008,
08/23/2023,6180,6038,
08/24/2023,6060,6023,
08/25/2023,6346,6047,
08/26/2023,5636,6056,
08/27/2023,5873,6041,
08/28/2023,4365,5784,
08/29/2023,6319,5826,
08/30/2023,6364,5852,
08/31/2023,6488,5913,
09/01/2023,6470,5931,
09/02/2023,5675,5936,
09/03/2023,6148,5976,
09/04/2023,6317,6254,
09/05/2023,6114,6225,
09/06/2023,6094,6187,
09/07/2023,6377,6171,
09/08/2023,6402,6161,
09/09/2023,5586,6148,
09/10/2023,6053,6135,
09/11/2023,6282,6130,
09/12/2023,6092,6127,
09/13/2023,6165,6137,
09/14/2023,6305,6126,
09/15/2023,6416,6128,
09/16/2023,5606,6131,
09/17/2023,5855,6103,
09/18/2023,6208,6092,
09/19/2023,6026,6083,
09/20/2023,6046,6066,
09/21/2023,6316,6068,
09/22/2023,6369,6061,
09/23/2023,5531,6050,
09/24/2023,5918,6059,
09/25/2023,6066,6039,
09/26/2023,5996,6035,
09/27/2023,5963,6023,
09/28/2023,6242,6012,
09/29/2023,6319,6005,
09/30/2023,5437,5992,
10/01/2023,5796,5974,
10/02/2023,6012,5966,
10/03/2023,5907,5954,
10/04/2023,5892,5944,
10/05/2023,6142,5929,
10/06/2023,6249,5919,
10/07/2023,5329,5904,
10/08/2023,5813,5906,
10/09/2023,5963,5899,
10/10/2023,5742,5876,
10/11/2023,5614,5836,
10/12/2023,6134,5835,
10/13/2023,5994,5798,
10/14/2023,5379,5806,
10/15/2023,5737,5795,
10/16/2023,6054,5808,
10/17/2023,5692,5801,
10/18/2023,5686,5811,
10/19/2023,5839,5769,
10/20/2023,5913,5757,
10/21/2023,5299,5746,
10/22/2023,5651,5733,
10/23/2023,5818,5700,
10/24/2023,5571,5682,
10/25/2023,5709,5686,
10/26/2023,5915,5697,
10/27/2023,6049,5716,
10/28/2023,5264,5711,
10/29/2023,5549,5696,
10/30/2023,5618,5668,
10/31/2023,5169,5610,
11/01/2023,4832,5485,
11/02/2023,4773,5322,
11/03/2023,5514,5246,
11/04/2023,4395,5121,
11/05/2023,5046,5050,
11/06/2023,5176,4986,
11/07/2023,4370,4872,
11/08/2023,4354,4804,
11/09/2023,4754,4801,
11/10/2023,5218,4759,
11/11/2023,4104,4717,
11/12/2023,4799,4682,
11/13/2023,4866,4638,
11/14/2023,4219,4616,
11/15/2023,4276,4605,
11/16/2023,4751,4605,
11/17/2023,5262,4611,
11/18/2023,3975,4593,
11/19/2023,4661,4573,
11/20/2023,4924,4581,
11/21/2023,4201,4579,
11/22/2023,4255,4576,
11/23/2023,4655,4562,
11/24/2023,5105,4539,
11/25/2023,4028,4547,
11/26/2023,4784,4565,
11/27/2023,5040,4581,
11/28/2023,4287,4593,
11/29/2023,4369,4610,
11/30/2023,4759,4625,
12/01/2023,5259,4647,
12/02/2023,3858,4622,
12/03/2023,4807,4626,
12/04/2023,5003,4620,
12/05/2023,4358,4630,
12/06/2023,4428,4639,
12/07/2023,4709,4632,
12/08/2023,5338,4643,
12/09/2023,4199,4692,
12/10/2023,4921,4708,
12/11/2023,5198,4736,
12/12/2023,4483,4754,
12/13/2023,4586,4776,
12/14/2023,5104,4833,
12/15/2023,5620,4873,
12/16/2023,4720,4947,
12/17/2023,5168,4983,
